07:38:59 | DEBUG | GDAL data found in package: path='C:\\Python312\\Lib\\site-packages\\fiona\\gdal_data'.
07:38:59 | DEBUG | PROJ data found in package: path='C:\\Python312\\Lib\\site-packages\\fiona\\proj_data'.
07:39:10 | DEBUG | Ausgeblendete Regionen: set()
07:39:15 | DEBUG | Loaded backend tkagg version 8.6.
07:39:15 | DEBUG | STREAM b'IHDR' 16 13
07:39:15 | DEBUG | STREAM b'sBIT' 41 4
07:39:15 | DEBUG | b'sBIT' 41 4 (unknown)
07:39:15 | DEBUG | STREAM b'pHYs' 57 9
07:39:15 | DEBUG | STREAM b'IDAT' 78 1189
07:39:15 | DEBUG | STREAM b'IHDR' 16 13
07:39:15 | DEBUG | STREAM b'sBIT' 41 4
07:39:15 | DEBUG | b'sBIT' 41 4 (unknown)
07:39:15 | DEBUG | STREAM b'pHYs' 57 9
07:39:15 | DEBUG | STREAM b'IDAT' 78 2994
07:39:15 | DEBUG | STREAM b'IHDR' 16 13
07:39:15 | DEBUG | STREAM b'sBIT' 41 4
07:39:15 | DEBUG | b'sBIT' 41 4 (unknown)
07:39:15 | DEBUG | STREAM b'pHYs' 57 9
07:39:15 | DEBUG | STREAM b'IDAT' 78 374
07:39:15 | DEBUG | STREAM b'IHDR' 16 13
07:39:15 | DEBUG | STREAM b'sBIT' 41 4
07:39:15 | DEBUG | b'sBIT' 41 4 (unknown)
07:39:15 | DEBUG | STREAM b'pHYs' 57 9
07:39:15 | DEBUG | STREAM b'IDAT' 78 286
07:39:15 | DEBUG | STREAM b'IHDR' 16 13
07:39:15 | DEBUG | STREAM b'sBIT' 41 4
07:39:15 | DEBUG | b'sBIT' 41 4 (unknown)
07:39:15 | DEBUG | STREAM b'pHYs' 57 9
07:39:15 | DEBUG | STREAM b'IDAT' 78 263
07:39:15 | DEBUG | STREAM b'IHDR' 16 13
07:39:15 | DEBUG | STREAM b'sBIT' 41 4
07:39:15 | DEBUG | b'sBIT' 41 4 (unknown)
07:39:15 | DEBUG | STREAM b'pHYs' 57 9
07:39:15 | DEBUG | STREAM b'IDAT' 78 387
07:39:15 | DEBUG | STREAM b'IHDR' 16 13
07:39:15 | DEBUG | STREAM b'sBIT' 41 4
07:39:15 | DEBUG | b'sBIT' 41 4 (unknown)
07:39:15 | DEBUG | STREAM b'pHYs' 57 9
07:39:15 | DEBUG | STREAM b'IDAT' 78 436
07:39:15 | DEBUG | STREAM b'IHDR' 16 13
07:39:15 | DEBUG | STREAM b'sBIT' 41 4
07:39:15 | DEBUG | b'sBIT' 41 4 (unknown)
07:39:15 | DEBUG | STREAM b'pHYs' 57 9
07:39:15 | DEBUG | STREAM b'IDAT' 78 351
07:39:15 | DEBUG | STREAM b'IHDR' 16 13
07:39:15 | DEBUG | STREAM b'sBIT' 41 4
07:39:15 | DEBUG | b'sBIT' 41 4 (unknown)
07:39:15 | DEBUG | STREAM b'pHYs' 57 9
07:39:15 | DEBUG | STREAM b'IDAT' 78 364
